# id:5--10--5-1 
-0.61,0.71,1
0.18,0.76,1
-0.3,0.87,1
-0.77,-0.42,1
-0.35,0.48,1
-0.27,0.06,1
-0.89,-0.86,1
0.37,-0.13,1
-0.9,0.49,-1
0.36,-0.36,-1
-0.81,-0.05,-1
-0.93,0.02,1
-0.76,-0.15,1
-0.9,-0.23,1
-0.38,0.16,-1
0.38,-0.36,1
-0.48,0.94,-1
-0.57,0.17,-1
0.31,-0.37,1
-0.92,-0.64,1
0.05,-0.92,1
0.38,0.08,1
0.66,0.02,1
-0.78,0.58,-1
0.39,-0.65,1
-0.16,0.52,-1
0.47,0.35,-1
-0.76,0.64,1
0.88,0.1,1
0.23,-0.19,1
-0.56,0.39,-1
0.77,0.38,-1
0.7,-0.92,-1
0.61,0.8,1
-0.32,-0.48,1
0.56,0.41,-1
-0.37,-0.53,-1
-0.06,-0.37,1
-0.31,0.42,1
0.36,0.77,-1
-0.13,0.31,1
0.67,0.26,1
-0.45,0.48,-1
0.09,-0.79,-1
-0.33,-0.94,-1
0.86,-0.08,-1
0.2,-0.23,-1
0.79,-0.73,-1
0.68,0.4,-1
0.05,0.28,1
0.08,0.38,1
-0.21,0.93,1
-0.71,0.31,1
-0.29,0.43,-1
0.3,0.76,1
-0.73,0.15,-1
0.89,0.36,1
0.84,0.56,-1
0.38,0.46,-1
-0.77,0.91,-1
-0.15,-0.3,1
-0.67,-0.63,1
0.53,0.31,1
-0.38,0.68,1
0.87,0.83,1
-0.51,-0.48,1
-0.52,0.9,1
0.85,-0.01,-1
0.18,0.41,1
-0.5,-0.24,1
0.66,0.81,-1
0.63,-0.08,1
-0.82,-0.17,-1
-0.14,0.68,-1
-0.08,0.54,-1
0.71,0.5,-1
0.62,-0.11,1
0.07,0.82,-1
0.45,0.32,1
-0.81,-0.09,-1
-0.63,0.1,1
0.51,-0.96,1
0,0.86,1
0.66,-0.72,1
-0.13,-0.77,1
-0.09,0.2,1
0.52,-0.84,1
0.18,-0.63,1
1,-0.02,1
0.73,0.53,1
-0.05,0.27,1
-0.7,-0.28,1
-0.64,0.45,-1
0.07,-0.05,1
-0.59,0.5,1
-0.32,0.26,1
0.4,-0.82,1
0.05,0.83,1
0.28,0.08,-1
0.06,0.92,1
